X,Y,Z,FGrav_mgal
745299.48,6416496.50,370.18,-0.041
745600.53,6416511.50,370.64,-0.039
745916.60,6416490.00,371.55,-0.070
746212.92,6416503.00,375.18,-0.018
746524.47,6416524.00,373.03,0.029
746815.53,6416492.50,373.09,0.101
747132.41,6416496.00,374.91,0.013
747421.00,6416488.00,376.01,0.188
747720.42,6416512.00,377.93,0.254
748014.57,6416504.00,380.00,0.322
748323.45,6416504.50,379.32,0.345
748616.10,6416502.50,379.63,0.279
748907.18,6416475.50,382.00,0.062
749198.54,6416502.50,386.51,0.050
744705.08,6416607.50,369.16,-0.074
745016.82,6416601.00,369.16,-0.040
745332.83,6416611.00,369.95,-0.041
745623.32,6416613.50,369.29,-0.049
745907.47,6416586.50,372.27,-0.054
746223.50,6416588.00,377.95,-0.035
746510.78,6416605.00,374.11,0.069
746810.90,6416608.00,373.37,0.283
747109.39,6416598.50,372.15,0.076
747439.99,6416609.50,376.68,0.081
747737.33,6416595.50,376.98,0.146
748026.72,6416621.00,378.18,0.225
748317.51,6416613.50,379.92,0.402
748909.76,6416629.50,380.86,0.109
749206.34,6416614.50,384.94,0.027
744725.52,6416720.50,369.88,-0.058
745030.04,6416712.00,369.50,-0.052
745301.82,6416698.00,370.33,-0.074
745925.50,6416707.00,375.96,-0.037
746521.38,6416707.00,375.99,0.130
746826.77,6416701.50,376.17,0.372
747120.54,6416712.00,375.23,0.131
747421.66,6416708.50,376.73,0.031
747697.96,6416708.00,378.97,0.052
748010.46,6416701.50,378.00,0.184
748330.72,6416721.00,376.69,0.444
748629.53,6416677.00,380.02,0.400
748916.09,6416705.00,382.91,0.089
749219.95,6416704.50,389.24,0.063
744731.11,6416803.00,371.28,-0.007
745015.20,6416801.00,371.28,-0.047
745318.17,6416800.00,370.06,-0.048
745913.66,6416786.50,378.55,-0.024
746228.65,6416814.50,381.94,0.125
746521.32,6416804.00,378.23,0.243
746820.64,6416817.00,379.04,0.441
747127.12,6416816.00,374.09,0.150
747430.64,6416817.00,377.91,0.072
747743.10,6416793.00,378.97,0.058
748022.32,6416807.00,379.41,0.128
