X,Y,Z_ground_m,Z_sensor_m,Mag_anomaly_nT,FGrav_mgal
747887.69,6416779.50,379.26,57.21,-514.87,0.071
747925.69,6416787.00,379.22,56.83,-459.60,0.101
747947.00,6416799.50,379.19,56.67,-425.55,0.118
747961.69,6416824.00,380.03,56.91,-397.22,0.135
747991.50,6416845.50,380.87,56.85,-354.63,0.129
747994.63,6416874.00,381.06,56.98,-358.22,0.123
747997.25,6416900.50,381.26,56.96,-365.72,0.117
747969.44,6416919.00,381.48,57.08,-412.70,0.120
747944.69,6416919.50,381.71,57.61,-445.83,0.118
747926.81,6416933.00,381.93,58.06,-480.80,0.112
747914.13,6416969.50,380.77,58.26,-526.50,0.113
747902.31,6417009.00,379.62,58.41,-575.15,0.189
747919.19,6417032.50,380.02,57.99,-569.20,0.236
747914.94,6417050.00,380.44,58.01,-589.05,0.270
747904.94,6417080.50,380.10,58.11,-628.46,0.309
747900.31,6417108.50,379.75,58.10,-602.36,0.327
749356.50,6418296.50,381.97,63.30,445.28,-0.004
749325.81,6418280.00,382.97,63.30,445.28,-0.007
749303.63,6418257.00,383.98,63.30,445.28,0.016
749263.38,6418237.50,384.98,61.50,364.96,-0.001
746808.44,6419164.50,385.54,63.50,-69.50,-0.001
746935.31,6419063.50,385.65,64.43,-31.39,0.014
747064.75,6418962.00,382.42,59.11,14.96,-0.028
747121.81,6418894.50,382.00,54.82,57.75,0.007
747237.19,6418857.00,379.79,57.38,98.91,-0.029
747431.50,6418782.00,381.00,61.12,208.18,0.017
747410.69,6418737.00,381.23,61.63,215.48,0.017
747358.00,6418703.50,380.77,62.90,200.50,0.023
747295.56,6418690.50,379.27,61.82,177.55,0.025
747446.06,6418505.50,380.75,61.50,414.27,0.086
747458.31,6418429.50,379.16,59.87,508.98,0.085
747341.75,6418367.00,379.98,60.71,529.87,0.067
747410.94,6418249.00,378.67,62.59,723.13,0.156
747627.13,6418138.50,378.20,64.08,983.02,0.274
747754.81,6418032.00,378.00,62.47,1089.56,0.479
747836.75,6417959.00,379.02,60.53,1046.41,0.501
747946.31,6417919.50,378.32,60.02,955.51,0.562
747992.31,6417878.00,379.58,60.60,900.73,0.579
748097.94,6417961.50,381.74,61.59,871.37,0.518
748202.94,6417934.50,380.06,62.67,759.57,0.476
748353.63,6417644.00,379.19,57.72,423.59,0.388
748318.88,6417563.00,379.79,56.16,355.71,0.397
748305.13,6417540.00,380.00,55.75,324.82,0.405
746762.44,6419225.50,386.74,62.00,-74.92,0.011
746845.00,6419145.00,385.57,64.50,-64.16,-0.001
746877.06,6419114.00,385.60,65.40,-57.55,-0.005
746908.19,6419093.00,385.62,65.80,-50.18,-0.008
746969.94,6419046.00,385.00,64.37,-23.18,0.011
746984.25,6419024.00,384.36,63.42,-16.86,0.010
747008.00,6418998.00,383.71,61.98,-8.53,-0.017
747039.56,6418973.50,383.06,60.20,3.90,-0.032
747079.13,6418929.00,382.28,57.15,30.01,-0.018
747148.13,6418881.50,381.26,54.60,70.52,0.005
747189.38,6418858.50,380.53,57.10,88.33,-0.002
747261.44,6418827.00,379.99,57.92,115.53,-0.044
747299.19,6418825.50,380.19,58.92,126.60,-0.035
747321.94,6418813.00,380.40,59.93,140.61,-0.016
747355.81,6418808.00,380.60,60.73,156.88,-0.001
747387.94,6418786.50,380.80,61.01,183.04,0.028
747412.63,6418771.50,381.11,61.23,202.42,0.020
747380.44,6418720.00,381.00,62.08,206.12,0.050
747330.38,6418697.50,380.02,63.02,189.84,0.008
747315.94,6418655.50,379.57,63.64,199.98,0.007
747332.06,6418624.00,379.88,64.89,228.56,0.002
747387.06,6418569.50,380.11,62.52,310.43,0.051
747399.94,6418547.00,380.03,62.01,343.51,0.054
747448.94,6418471.00,379.96,60.72,456.19,0.064
747414.69,6418417.00,379.43,59.86,503.74,0.051
747384.75,6418400.50,379.70,60.23,509.49,0.045
747375.56,6418311.00,379.32,60.59,617.86,0.056
747406.75,6418283.00,379.00,61.04,671.25,0.107
747455.88,6418222.50,378.60,62.56,781.93,0.178
747499.25,6418205.00,378.47,63.07,825.55,0.202
747540.94,6418183.50,378.40,63.71,875.41,0.220
747559.56,6418165.50,378.33,64.32,910.70,0.243
747593.25,6418162.50,378.27,63.84,932.14,0.268
747661.31,6418122.00,378.16,64.27,1020.13,0.285
747701.44,6418078.00,378.08,65.73,1081.95,0.378
747738.88,6418064.50,378.04,64.42,1084.27,0.411
747787.88,6418014.00,378.34,61.24,1075.48,0.442
747810.88,6417987.00,378.68,60.90,1065.26,0.464
747855.94,6417982.00,378.88,61.63,1033.48,0.522
747897.19,6417970.50,378.61,60.36,1004.95,0.552
747917.25,6417936.50,378.46,59.74,982.03,0.542
747965.31,6417899.00,378.95,60.23,933.01,0.573
747992.44,6417912.00,379.54,60.70,916.77,0.552
747991.00,6417949.50,379.49,60.77,934.81,0.523
748010.38,6417982.50,380.21,60.46,940.52,0.500
748052.00,6417970.50,380.98,60.39,910.09,0.511
748127.38,6417947.50,381.18,62.01,836.55,0.515
748164.75,6417948.50,380.62,61.72,805.20,0.511
748215.31,6417905.50,379.75,64.07,719.25,0.436
748216.63,6417868.50,379.45,65.66,684.87,0.410
748230.38,6417834.50,379.14,64.56,644.42,0.430
748241.44,6417801.50,378.83,63.00,612.90,0.450
748253.00,6417762.00,378.53,60.91,576.93,0.498
748280.19,6417720.50,378.72,58.86,525.51,0.468
748334.31,6417670.50,379.21,58.28,452.33,0.350
